shop,datetime,price_reg,price_promo,article,name,category_path
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:53:47,1199,959,в240893,"Вино Bodegas Bastida, ""Evoca"", Jumilla DO, 2022 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:53:46,999,750,в248923,"Вино ""Bendito"" Carmenere, Valley Central DO, 2023 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:53:47,769,769,в209689,"Вино Luis Felipe Edwards, ""Bendito"" Carmenere, Central Valley DO, 2022 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:53:47,999,849,в248918,"Вино ""Bendito"" Pinot Grigio, Valley Central DO, 2024 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:53:48,999,750,в248920,"Вино ""Bendito"" Sauvignon Blanc, Valley Central DO, 2024 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:53:49,999,799,в248919,"Вино ""Bendito"" Chardonnay, Valley Central DO, 2024 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:53:47,1799,1299,в232837,"Вино ""40"" Nero di Troia, Puglia IGT, 2022 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:53:48,1299,1299,в192641,"Вино ""40"" Nero di Troia, Puglia IGT, 2019 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:53:49,1299,1299,в211745,"Вино ""40"" Nero di Troia, Puglia IGT, 2021 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:53:51,1999,1699,в221489,"Вино Castello di Corbara, ""Thybris"" Sangiovese, Lago di Corbara DOC, 2020 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:53:50,999,799,в248926,"Вино ""Bendito"" Merlot, Valley Central DO, 2023 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:53:51,769,769,в209690,"Вино Luis Felipe Edwards, ""Bendito"" Merlot, Central Valley DO, 2022 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:53:49,1499,1290,в240890,"Вино Cantine Risveglio, ""Sciaia"", Puglia IGT, 2023 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:53:50,999,999,в164324,"Вино Cantine Risveglio, ""Sciaia"", Puglia IGT, 2020 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:53:51,999,999,в198255,"Вино Cantine Risveglio, ""Sciaia"", Puglia IGT, 2021 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:53:52,1299,1299,в211744,"Вино Cantine Risveglio, ""Sciaia"", Puglia IGT, 2022 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:53:50,1599,1280,в243533,"Вино ""Flor de Sara"" Crianza, Rioja DOC, 2021 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:53:51,1499,1499,в223543,"Вино ""Flor de Sara"" Crianza, Rioja DOC, 2020 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:53:52,1299,1299,в211736,"Вино ""Flor de Sara"" Crianza, Rioja DOC, 2019 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:53:52,999,799,в248927,"Вино ""Bendito"" Cabernet Sauvignon, Valley Central DO, 2023 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:53:53,1599,1390,в220424,"Вино Lavau, ""EnvyFol"" Syrah, Pays d'Oc IGP, 2022 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:53:54,1199,1199,в192649,"Вино Lavau, ""EnvyFol"" Syrah, Pays d'Oc IGP, 2021 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:53:54,1099,989,в182854,"Вино ""Gabia"" Vinho Verde DOC ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:53:53,999,799,в248921,"Вино ""Bendito"" Moscato, 2024 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:53:55,759,759,в209688,"Вино Luis Felipe Edwards, ""Bendito"" Moscato, Central Valley DO, 2022 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:53:54,1199,959,в235547,"Вино ""Cibolo"" Sauvignon Blanc, 2023 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:53:55,1099,1099,в217043,"Вино ""Cibolo"" Sauvignon Blanc, 2022 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:53:57,2299,1949,в247779,"Вино Chateau Hyot, Castillon Cotes de Bordeaux AOP, 2019 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:53:57,1990,1990,в206495,"Вино Chateau Hyot, Castillon Cotes de Bordeaux AOP, 2018 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:53:59,1780,1780,в134381,"Вино Chateau Hyot, Castillon Cotes de Bordeaux AOP, 2016 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:53:56,1399,1099,в235534,"Вино Cantina Diomede, ""Folia"" Bombino Bianco, Puglia IGP, 2023 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:53:57,970,970,в123333,"Вино Cantina Diomede, ""Folia"" Bombino Bianco, Puglia IGP, 2018 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:53:58,999,999,в201713,"Вино Cantina Diomede, ""Folia"" Bombino Bianco, Puglia IGP, 2021 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:53:59,999,999,в164196,"Вино Cantina Diomede, ""Folia"" Bombino Bianco, Puglia IGP, 2020 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:53:59,1099,1099,в211739,"Вино Cantina Diomede, ""Folia"" Bombino Bianco, Puglia IGP, 2022 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:53:57,1399,1399,в235546,"Вино Familia Bastida, ""Drama"" Red Blend, La Mancha DO, 2020 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:53:58,899,899,в150478,"Вино Familia Bastida, ""Drama"" Red Blend, La Mancha DO, 2017 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:53:59,999,999,в171421,"Вино Familia Bastida, ""Drama"" Red Blend, La Mancha DO, 2018 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:00,859,859,в106872,"Вино Familia Bastida, ""Drama"" Red Blend, La Mancha DO, 2015 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:01,1199,1199,в198166,"Вино Familia Bastida, ""Drama"" Red Blend, La Mancha DO, 2019 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:01,1299,1299,в243536,"Вино Vega Moragona, ""Tradicion"" Cabernet Sauvignon, Ribera del Jucar DO, 2022 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:02,1199,1199,в232841,"Вино Vega Moragona, ""Tradicion"" Cabernet Sauvignon, Ribera del Jucar DO, 2020 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:00,1599,1599,в240892,"Вино Lavau, ""EnvyFol"" Chardonnay, Pays d'Oc IGP, 2023 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:02,1199,1199,в192647,"Вино Lavau, ""EnvyFol"" Chardonnay, Pays d'Oc IGP, 2021 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:03,1299,1299,в207034,"Вино Lavau, ""EnvyFol"" Chardonnay, Pays d'Oc IGP, 2022 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:53:56,2799,2490,в243524,"Вино Ramirez de la Piscina, Reserva, Rioja DOCa, 2019 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:53:58,1750,1750,в122045,"Вино Ramirez de la Piscina, Reserva, Rioja DOCa, 2014 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:53:59,1999,1999,в150479,"Вино Ramirez de la Piscina, Reserva, Rioja DOCa, 2015 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:00,1999,1999,в179831,"Вино Ramirez de la Piscina, Reserva, Rioja DOCa, 2016 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:02,2499,2499,в223537,"Вино Ramirez de la Piscina, Reserva, Rioja DOCa, 2018 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:03,1999,1999,в198159,"Вино Ramirez de la Piscina, Reserva, Rioja DOCa, 2017 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:04,1699,1499,в247792,"Вино ""Las Bas"" Gewurztraminer, Somontano DO, 2023 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:04,1999,1999,в232847,"Вино Covinas, ""Veterum Vitium"" Orange, Utiel-Requena DOP, 2022 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:05,1999,1999,в217052,"Вино Covinas, ""Veterum Vitium"" Orange, Utiel-Requena DOP, 2021 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:03,1499,1499,в247786,"Вино Connoisseur, ""Le Cheval Marin"" Colombard-Sauvignon Blanc-Gros Manseng, Cotes de Gascogne IGP, 2023 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:04,1299,1299,в124960,"Вино Connoisseur, ""Le Cheval Marin"" Colombard-Sauvignon-Gros Manseng, Cotes de Gascogne IGP, 2018 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:04,1419,1419,в184080,"Вино Connoisseur, ""Le Cheval Marin"" Colombard-Sauvignon Blanc-Gros Manseng, Cotes de Gascogne IGP, 2020 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:05,1419,1419,в196229,"Вино Connoisseur, ""Le Cheval Marin"" Colombard-Sauvignon Blanc-Gros Manseng, Cotes de Gascogne IGP, 2021 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:06,1299,1299,в227168,"Вино Connoisseur, ""Le Cheval Marin"" Colombard-Sauvignon Blanc-Gros Manseng, Cotes de Gascogne IGP, 2022 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:13,1299,1039,в235551,"Вино ""Masamadre"" Red Blend, Calatayud DO, 2020 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:11,1499,1199,в243531,"Вино ""Flor de Sara"" Vendimia Seleccionada, Rioja DOC, 2022 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:13,1399,1399,в223542,"Вино ""Flor de Sara"" Vendimia Seleccionada, Rioja DOC, 2021 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:16,1099,1099,в192668,"Вино ""Flor de Sara"" Vendimia Seleccionada, Rioja DOC, 2019 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:14,1199,959,в235561,"Вино ""Vina Tempero"" Verdejo Viura, Rueda DO, 2023 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:16,1199,1199,в221490,"Вино ""Vina Tempero"" Verdejo Viura, Rueda DO, 2022 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:16,1299,1299,в243534,"Вино Vega Moragona, ""Tradicion"" Syrah, Ribera del Jucar DO, 2022 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:18,1199,1199,в232840,"Вино Vega Moragona, ""Tradicion"" Syrah, Ribera del Jucar DO, 2021 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:18,1999,1599,в247778,"Вино ""Valvirginio"" Chianti DOCG Riserva, 2021 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:21,1999,1999,в221494,"Вино ""Valvirginio"" Chianti DOCG Riserva, 2020 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:21,999,999,в221481,"Вино Familia Bastida, ""Talma"" Syrah, 2022 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:22,799,799,в192605,"Вино Familia Bastida, ""Talma"" Syrah, 2021 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:23,1499,1199,в247787,"Вино Connoisseur, ""Les Gardien des Cieux"", Cotes de Gascogne IGP, 2023 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:26,1299,1299,в227170,"Вино Connoisseur, ""Les Gardien des Cieux"", Cotes de Gascogne IGP, 2022 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:22,1199,1199,в243537,"Вино Alceno, ""Ally Bay"" Sauvignon Blanc, 2023 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:24,999,999,в198164,"Вино Alceno, ""Ally Bay"" Sauvignon Blanc, 2021 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:27,999,999,в211728,"Вино Alceno, ""Ally Bay"" Sauvignon Blanc, 2022 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:26,2299,1999,в247782,"Вино ""Flor de Sara"" Reserva, Rioja DOC, 2019 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:28,2199,2199,в206497,"Вино ""Flor de Sara"" Reserva, Rioja DOC, 2018 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:31,1599,1599,в192664,"Вино ""Flor de Sara"" Reserva, Rioja DOC, 2015 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:32,2499,2499,в240889,"Вино Santa Tresa, ""Insieme"" Orange, Terre Siciliane IGP, 2023 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:36,1599,1599,в243540,"Вино ""La Calla"" Pinot Nero, Provincia di Pavia IGT, 2022 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:32,1299,1299,в211752,"Вино ""Corkout"" Zweigelt, 2021 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:34,999,999,в182469,"Вино ""Corkout"" Zweigelt, 2020 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:36,929,929,в160049,"Вино ""Corkout"" Zweigelt, 2018 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:26,1399,1399,в248239,"Вино Connoisseur, ""L'Eternelle Fidele"" Colombard-Ugni Blanc, Cotes de Gascogne IGP, 2023 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:29,1309,1309,в124954,"Вино Connoisseur, ""L'Eternelle Fidele"" Colombard-Ugni Blanc, Cotes de Gascogne IGP, 2018 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:32,1329,1329,в184081,"Вино Connoisseur, ""L'Eternelle Fidele"" Colombard-Ugni Blanc, Cotes de Gascogne IGP, 2020 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:35,1290,1290,в196230,"Вино Connoisseur, ""L'Eternelle Fidele"" Colombard-Ugni Blanc, Cotes de Gascogne IGP, 2021 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:38,1199,1199,в227166,"Вино Connoisseur, ""L'Eternelle Fidele"" Colombard-Ugni Blanc, Cotes de Gascogne IGP, 2022 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:41,4790,4790,в235542,"Вино Ramirez de la Piscina, Gran Reserva, Rioja DOCa, 2016 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:43,3990,3990,в211761,"Вино Ramirez de la Piscina, Gran Reserva, Rioja DOCa, 2014 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:37,1599,1299,в247788,"Вино Connoisseur, ""Le Grand Dormeur"" Gros Manseng, Cotes de Gascogne IGP, 2023 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:39,1129,1129,в124958,"Вино Connoisseur, ""Le Grand Dormeur"" Gros Manseng, Cotes de Gascogne IGP, 2018 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:43,1709,1709,в184077,"Вино Connoisseur, ""Le Grand Dormeur"" Gros Manseng, Cotes de Gascogne IGP, 2019 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:45,1709,1709,в194256,"Вино Connoisseur, ""Le Grand Dormeur"" Gros Manseng, Cotes de Gascogne IGP, 2021 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:43,1999,1999,в243538,"Вино Gunter Wenzl, Riesling, 2023 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:46,1899,1899,в211755,"Вино Gunter Wenzl, Riesling, 2022 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:41,1599,1599,в240891,"Вино ""40"" Appassimento, Puglia IGT, 2023 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:43,1190,1190,в192644,"Вино ""40"" Appassimento, Puglia IGT, 2020 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:46,1199,1199,в206485,"Вино ""40"" Appassimento, Puglia IGT, 2021 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:49,1599,1599,в223544,"Вино ""40"" Appassimento, Puglia IGT, 2022 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:51,2990,2290,в247791,"Вино Domaine de Champ Fleury, ""Les Vins Allegresse"" Pinot Noir, Bourgogne AOC, 2023 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:48,2199,2199,в247783,"Вино ""Pierre Brecht"" Riesling, Alsace AOC, 2023 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:50,1999,1999,в232822,"Вино ""Pierre Brecht"" Riesling, Alsace AOC, 2022 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:52,1999,1999,в217045,"Вино ""Pierre Brecht"" Riesling, Alsace AOC, 2021 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:51,2199,2199,в227161,"Вино Montedidio, ""Vino Antorino"" Primitivo, Puglia IGT, 2022 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:55,1499,1499,в198244,"Вино Montedidio, ""Vino Antorino"" Primitivo, Puglia IGT, 2021 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:56,1699,1699,в247784,"Вино ""Alain de la Treille"" Sauvignon Blanc VdF, 2023 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:58,1499,1499,в227171,"Вино ""Alain de la Treille"" Sauvignon Blanc VdF, 2022 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:58,1499,1499,в182857,"Вино Casa Ermelinda Freitas, Moscatel de Setubal DO ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:54,1599,1599,в235549,"Вино ""Bermont"" Rouge, Pays d'Herault IGP, 2023 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:57,1399,1399,в223545,"Вино ""Bermont"" Rouge, Pays d'Herault IGP, 2022 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:55:00,1099,1099,в198318,"Вино ""Bermont"" Rouge, Pays d'Herault IGP, 2020 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:59,1699,1699,в247785,"Вино ""Alain de la Treille"" Pinot Noir VdF, 2023 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:55:00,1499,1499,в227173,"Вино ""Alain de la Treille"" Pinot Noir VdF, 2022 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:14,1699,1699,в243541,"Вино ""La Calla"" Appassimento, Puglia IGT, 2022 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:16,999,999,в206546,"Вино ""Varanda dos Reis"" Rosado, Vinho Verde DOC ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:15,1699,1699,в192600,"Вино Montedidio, ""San Domino"" Primitivo, Puglia IGT, 2021 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:17,1149,1149,в139601,"Вино Montedidio, ""San Domino"" Primitivo, Puglia IGT, 2018 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:20,1199,1199,в160650,"Вино Montedidio, ""San Domino"" Primitivo, Puglia IGT, 2019 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:23,1099,1099,в173727,"Вино Montedidio, ""San Domino"" Primitivo, Puglia IGT, 2020 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:16,1999,1999,в235559,"Вино Weingut Hauck, Riesling Spatlese Alte Reben Trocken, 2023 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:19,1699,1699,в179843,"Вино Weingut Hauck, Riesling Spatlese Alte Reben Trocken, 2020 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:22,1699,1699,в192603,"Вино Weingut Hauck, Riesling Spatlese Alte Reben Trocken, 2021 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:25,1990,1990,в217053,"Вино Weingut Hauck, Riesling Spatlese Alte Reben Trocken, 2022 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:22,1199,1199,в240888,"Вино Casa Ermelinda Freitas, ""Vinha da Fonte"" Touriga Nacional, 2022 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:25,889,889,в179832,"Вино Casa Ermelinda Freitas, ""Vinha da Fonte"" Touriga Nacional, 2020 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:27,1199,1199,в192601,"Вино Casa Ermelinda Freitas, ""Vinha da Fonte"" Touriga Nacional, 2021 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:18,1699,1699,в232821,"Вино Chateau de la Turmeliere, Muscadet Sevre et Maine Sur Lie AOP, 2022 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:21,1329,1329,в160645,"Вино Chateau de la Turmeliere, Muscadet Sevre et Maine Sur Lie AOP, 2019 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:23,1349,1349,в134382,"Вино Chateau de la Turmeliere, Muscadet Sevre et Maine Sur Lie AOP, 2018 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:26,1399,1399,в198258,"Вино Chateau de la Turmeliere, Muscadet Sevre et Maine Sur Lie AOP, 2021 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:28,1299,1299,в174739,"Вино Chateau de la Turmeliere, Muscadet Sevre et Maine Sur Lie AOP, 2020 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:30,1399,1399,в217046,"Вино Lavau, ""EnvyFol"" GSM, Pays d'Oc IGP, 2022 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:32,1199,1199,в201740,"Вино Lavau, ""EnvyFol"" GSM, Pays d'Oc IGP, 2021 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:35,2199,2199,в247780,"Вино Cantine Risveglio, ""Pecoranera"" Nero di Troia, Puglia IGT, 2022 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:36,1839,1839,в164329,"Вино Cantine Risveglio, ""Pecoranera"" Nero di Troia, Puglia IGT, 2019 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:39,1899,1899,в192675,"Вино Cantine Risveglio, ""Pecoranera"" Nero di Troia, Puglia IGT, 2020 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:41,1999,1999,в217051,"Вино Cantine Risveglio, ""Pecoranera"" Nero di Troia, Puglia IGT, 2021 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:33,1699,1699,в243528,"Вино Pitars, ""Braida Santa Cecilia"" Sauvignon, Friuli DOC, 2023 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:36,1599,1599,в232828,"Вино Pitars, ""Braida Santa Cecilia"" Sauvignon, Friuli DOC, 2022 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:39,1199,1199,в173926,"Вино Pitars, ""Braida Santa Cecilia"" Sauvignon, Friuli DOC, 2020 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:43,1299,1299,в192593,"Вино Pitars, ""Braida Santa Cecilia"" Sauvignon, Friuli DOC, 2021 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:33,999,999,в223539,"Вино Familia Bastida, ""Talma"" Garnacha, La Mancha DO, 2022 ",Вино
